2026-04-21 12:18:35,612 | INFO | root | 🚀 HitMaker AI Online! (Production v3: Locks, Semaphores & Retries active)
2026-04-21 12:18:35,613 | INFO | aiogram.dispatcher | Start polling
2026-04-21 12:18:35,687 | INFO | aiogram.dispatcher | Run polling for bot @Superhit1_bot id=8514921407 - 'superhit_podarok_bot.'
2026-04-21 12:18:38,869 | INFO | httpx | HTTP Request: POST https://script.google.com/macros/s/AKfycby_xBp6_OdSL9H0juk_QcmflysL0MwkTN3NkT8QZjlDw6imTBNdnla_f-CWMi7g0JlN/exec "HTTP/1.1 302 Moved Temporarily"
2026-04-21 12:33:35,681 | INFO | root | 🚀 HitMaker AI Online! (Production v3: Locks, Semaphores & Retries active)
2026-04-21 12:33:35,682 | INFO | aiogram.dispatcher | Start polling
2026-04-21 12:33:35,757 | INFO | aiogram.dispatcher | Run polling for bot @Superhit1_bot id=8514921407 - 'superhit_podarok_bot.'
2026-04-21 12:33:35,768 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:33:35,768 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8514921407)
2026-04-21 12:33:37,414 | INFO | httpx | HTTP Request: POST https://script.google.com/macros/s/AKfycby_xBp6_OdSL9H0juk_QcmflysL0MwkTN3NkT8QZjlDw6imTBNdnla_f-CWMi7g0JlN/exec "HTTP/1.1 302 Moved Temporarily"
2026-04-21 12:33:39,801 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:33:39,801 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8514921407)
2026-04-21 12:33:40,811 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:33:40,811 | WARNING | aiogram.dispatcher | Sleep for 1.364939 seconds and try again... (tryings = 1, bot id = 8514921407)
2026-04-21 12:33:45,188 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:33:45,188 | WARNING | aiogram.dispatcher | Sleep for 1.309727 seconds and try again... (tryings = 1, bot id = 8514921407)
2026-04-21 12:33:46,511 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:33:46,511 | WARNING | aiogram.dispatcher | Sleep for 1.828947 seconds and try again... (tryings = 2, bot id = 8514921407)
2026-04-21 12:33:51,351 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:33:51,352 | WARNING | aiogram.dispatcher | Sleep for 1.740443 seconds and try again... (tryings = 2, bot id = 8514921407)
2026-04-21 12:33:53,103 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:33:53,103 | WARNING | aiogram.dispatcher | Sleep for 2.360308 seconds and try again... (tryings = 3, bot id = 8514921407)
2026-04-21 12:33:58,479 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:33:58,479 | WARNING | aiogram.dispatcher | Sleep for 2.277021 seconds and try again... (tryings = 3, bot id = 8514921407)
2026-04-21 12:34:00,772 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:34:00,773 | WARNING | aiogram.dispatcher | Sleep for 3.016354 seconds and try again... (tryings = 4, bot id = 8514921407)
2026-04-21 12:34:03,803 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
